movie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
418945f8-44ad-4ff4-a20c-098018973880,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0372203a-5fa2-46de-96be-7422be17cb9f,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
f6feeaa9-c0a3-40ea-a367-6b83cf8a0efc,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e425bb23-47d2-455b-87c0-2f8e9bcdafd3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
3e399eca-dfe6-4143-b3ea-723bcb22842e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70befd45-db54-4e1c-bdd3-e96fdf73176f,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85c8dc6c-6491-43b7-b325-8114fa947bfb,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
243bf359-36cf-4624-8508-7d73df052774,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cd286a09-2910-461a-89a9-f70965374d0b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
91a4cfa8-ca2f-4cbd-9eb7-aa656d4eb67d,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1e4c22d7-7c29-46e3-9033-69c88af0ac58,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4e5e1f39-04d8-4abe-ac0c-f000799003f0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3ab83b01-52c2-42e1-b826-3e894cd44c1f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1f086627-7845-4c16-b311-69628d58f843,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02bc671b-3e16-4f5c-bfca-39902dcd3deb,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
fb579c66-3c7b-4d9a-9b40-79e0f90230f2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75fadf28-7208-4e37-b385-bbefab5084b1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
66b75dfb-fdb6-44c0-83a4-45aff4969c82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395c818e-3de5-44dd-8f64-c8efb8217bfe,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c281805c-d915-44aa-a0bb-35d558f25d8c,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d4a527e6-0b66-4ea3-b43a-01401c436f4a,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35434286-3abc-4d63-8292-fc97af73adf0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26495cbb-6d9c-48c7-a43b-7302c352f35a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eb540e79-d80e-45b2-8390-98740ab5f2bc,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3bc1b291-a842-4a1b-9316-6d9a70951b18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11c7edcf-0ac2-4e3e-b1fc-8119e3878566,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c5c53d53-5b1d-4991-a776-86f3b8c666f0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3310b74a-c612-4b82-84eb-17db8b975789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6fc94bed-0f27-4b95-81dc-7e1b4a95948c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e8581dd1-7d6f-4fb7-8be6-ac8451fea5dc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2ee2ab3d-db86-4728-bf5c-8ead72cff952,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6fbe211e-b0cb-4b37-9a7f-7e6f7f8fce78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4fb3f828-62bb-4ca5-b1e8-cc3357f01542,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3fd8cc26-add1-4473-89f0-f670662878eb,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7798344f-b7c6-4b21-b21d-9f0610619dc9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bbf33a97-5d3f-4800-96f5-62de70dcc31c,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15e0e0bf-9ad4-4dd2-b7ba-bc399720dfec,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
433f450c-b888-4f84-9965-bb6f460cdf26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
bbc987df-b88c-4f42-b1d1-6b8c846b4415,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
e3655b0f-a911-4050-b556-cf19d1705b52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
148a1930-fce4-497b-bcb4-e6d3a8fbec4b,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
842bc064-ebcf-439b-a260-bbe0c2d7560c,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
a794a6eb-9359-46c6-a5ae-3b9c1f842f7d,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52fe06b1-46cb-4fcd-882d-9c4d5a234968,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958bd269-7cba-4702-9f92-c7187b2ac32d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11a64bef-a0e2-4eb4-af2f-d8f54faa8bc2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
972ff223-476c-44c7-a029-7816cb4f6af0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8c4e3a1f-a4b5-41e1-8c3f-b37e061b5edb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57c38127-6f86-4c1a-a907-0cb698967183,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
364ea196-6c7a-4863-a6d8-24325d9c86c4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3de08e40-94d1-4895-88c2-3dc04d7c8dba,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
63ee9bbb-9009-413f-920c-5edacbcaafcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8fcd03f6-06bc-4ea3-80d5-8dd5953a591d,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3c8fe746-dab1-4be9-a545-09ef2ecd2232,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2c6f2f1d-70d9-497d-8c7a-a989efcc9eaf,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
777bcf06-593e-496e-903a-02c0749bc8f0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
a6971e9e-b782-402a-ade0-50f61f430342,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3edf1654-ef31-4625-9bfe-b9409091ed21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38d26275-3d18-447d-93f4-c469c6cf3045,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7c348323-ccca-49fa-b87e-07ed44329b70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6557db5f-8432-448b-8129-5c1ef0261661,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9f972de9-f0c5-4f4f-ab60-85649d7c9bca,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d83f0095-729c-4d33-b709-edde6e84f9b1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a7d88591-144d-4466-acd8-e48e62f14a0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c8658a9b-8f99-46f0-802e-942a4cb73718,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cd522ee2-6bb4-4240-aecf-62bddf0d8a6d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
c9e374ef-8d41-4376-b38d-f8185ef08c8d,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9db6b9d6-28d5-45ee-998d-0759f3d8abbe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3e1d6a4c-9949-4977-bb4f-ba17f85e58b0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8ffca22d-b01b-456a-ac8f-60730be2b9e8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b717143d-7250-4fbc-8c61-d50b486d3c1a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ef47fa78-cae3-4d14-b35c-ad6294da5eb1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
b5051e99-3baa-4682-862d-1777f8a4f655,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22d8f3e0-623b-488c-82a5-a7adbe6ce635,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
af7303d8-5c58-4ca2-a1b3-25186449fad7,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96d29221-f635-4e9d-8b01-89bbeb0a763b,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1ee50510-ec14-4ca0-af8e-f501215d0fb8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
05424932-ced1-41f9-8338-56bafc9bbeec,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
aee10a3e-01b9-4dbe-8bab-07be63e0d7f3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8adcd37d-909c-4a97-8b93-21ade3228223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24125b88-b50f-4a33-9e0c-e2721082d5c1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ded2bae4-ff65-4f31-a47f-719060fe17a4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7c3b4cb8-87b0-487a-9bb5-f9d62e6311e0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
933a958b-842a-4934-81e4-0fdcbcceb46c,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644ce916-809c-437d-bc9c-d92c4a7988cf,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
e9c3efd5-4fe3-4acb-bd93-3c80ff952d86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56d8f92d-db41-4a9f-8af9-bb6f2849efae,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
